OBJECTID,HUC_8,HUC_12,HU_8_NAME,HU_10_NAME,HU_12_NAME,county_10,countylsad,city_10,citylsda,,blank
243511,,070600020408,,Community of Freeport-Upper Iowa River,Community of Freeport-Upper Iowa River,,,,,,
243512,,070802020202,,Elk Creek,Elk Creek,,,,,,
243513,,070802020201,,Drainage Ditch 2,Drainage Ditch 2,,,,,,
243514,,070802010801,,Burr Oak Creek,Burr Oak Creek,,,,,,
243515,,070802030107,,Headwaters Beaver Creek,Headwaters Beaver Creek,,,,,,
243516,,070801020102,,Mead Creek-Little Wapsipinicon River,Mead Creek-Little Wapsipinicon River,,,,,,
243517,,070802010605,,Sugar Creek-Cedar River,Sugar Creek-Cedar River,,,,,,
243518,,070802030301,,Winans Creek,Winans Creek,,,,,,
243519,,070600040302,,South Branch Turkey River-Turkey River,South Branch Turkey River-Turkey River,,,,,,
243520,,070802030302,,Willow Creek,Willow Creek,,,,,,
243521,,070600040303,,Chihaks Creek-Turkey River,Chihaks Creek-Turkey River,,,,,,
243522,,070600020207,,Ten Mile Creek,Ten Mile Creek,,,,,,
243523,,070600020103,,Staff Creek,Staff Creek,,,,,,
243524,,070600020105,,Hayden Prairie State Wildlife Area-Beaver Creek,Hayden Prairie State Wildlife Area-Beaver Creek,,,,,,
243525,,070600020201,,Bigalks Creek,Bigalks Creek,,,,,,
243526,,070600020301,,North Canoe Creek,North Canoe Creek,,,,,,
243527,,070600020604,,French Creek,French Creek,,,,,,
243528,,070600020206,,Martha Creek-Upper Iowa River,Martha Creek-Upper Iowa River,,,,,,
243529,,070802010401,,Drainage Ditch 11,Drainage Ditch 11,,,,,,
243530,,070802010403,,Deer Creek,Deer Creek,,,,,,
243531,,070600020503,,Bear Creek,Bear Creek,,,,,,
243532,,070600020601,,Patterson Creek,Patterson Creek,,,,,,
243533,,070802030104,,Lime Creek,Lime Creek,,,,,,
243534,,070600020401,,Dry Run,Dry Run,,,,,,
243535,,070600020404,,City of Decorah-Upper Iowa River,City of Decorah-Upper Iowa River,,,,,,
243536,,070600020406,,Trout River,Trout River,,,,,,
243537,,070600020602,,Paint Creek-Upper Iowa River,Paint Creek-Upper Iowa River,,,,,,
243538,,070600020603,,Silver Creek,Silver Creek,,,,,,
243539,,070600010702,,Clear Creek-Mississippi River,Clear Creek-Mississippi River,,,,,,
243540,,070600010707,,Leitner Creek-Mississippi River,Leitner Creek-Mississippi River,,,,,,
243541,,070600010705,,Buck Creek-Mississippi River,Buck Creek-Mississippi River,,,,,,
243542,,070600020202,,Silver Creek,Silver Creek,,,,,,
243804,,070802070101,,Headwaters West Branch Iowa River,Headwaters West Branch Iowa River,,,,,,
243805,,070802070103,,Eagle Lake State Game Management Area-West Branch Iowa River,Eagle Lake State Game Management Area-West Branch Iowa River,,,,,,
243806,,070802030105,,Buffalo Creek,Buffalo Creek,,,,,,
243807,,071000030401,,Headwaters Little Buffalo Creek,Headwaters Little Buffalo Creek,,,,,,
243808,,070802030103,,Pike Run,Pike Run,,,,,,
243809,,070802030106,,Bear Creek-Winnebago River,Bear Creek-Winnebago River,,,,,,
243868,,071000010502,,Upper Okabena Creek,Upper Okabena Creek,,,,,,
243876,,071000010503,,Judicial Ditch No 76,Judicial Ditch No 76,,,,,,
243878,,071000010501,,Elk Creek,Elk Creek,,,,,,
243882,,071000010605,,Lower Jack Creek,Lower Jack Creek,,,,,,
243885,,071000010603,,Upper Jack Creek,Upper Jack Creek,,,,,,
243891,,071000010601,,Corabelle Lake,Corabelle Lake,,,,,,
243892,,071000010602,,Judicial Ditch No 12,Judicial Ditch No 12,,,,,,
243893,,071000010604,,East Graham Lake,East Graham Lake,,,,,,
243898,,071000010301,,North Badger Lake,North Badger Lake,,,,,,
243901,,071000010403,,Talcot Lake-Des Moines River,Talcot Lake-Des Moines River,,,,,,
243902,,071000010303,,Lime Creek,Lime Creek,,,,,,
243905,,071000010302,,Big Slough,Big Slough,,,,,,
243908,,070200080503,,Upper Highwater Creek,Upper Highwater Creek,,,,,,
243909,,071000010102,,Judicial Ditch No 14,Judicial Ditch No 14,,,,,,
243910,,071000010401,,County Ditch No 4,County Ditch No 4,,,,,,
243911,,071000010402,,City of Currie-Des Moines River,City of Currie-Des Moines River,,,,,,
243913,,071000010104,,Lower Beaver Creek,Lower Beaver Creek,,,,,,
243918,,071000010103,,County Ditch No 20,County Ditch No 20,,,,,,
243920,,071000010101,,Upper Beaver Creek,Upper Beaver Creek,,,,,,
243923,,071000010203,,Lake Sarah,Lake Sarah,,,,,,
243925,,071000010204,,Lake Shetek,Lake Shetek,,,,,,
243926,,070200080301,,Judicial Ditch No 20A,Judicial Ditch No 20A,,,,,,
243927,,071000010201,,Currant Lake,Currant Lake,,,,,,
243929,,070200060101,,Redwood River Headwaters,Redwood River Headwaters,,,,,,
243932,,071000010202,,Lake Yankton,Lake Yankton,,,,,,
243942,,070200080102,,North Twin Lake-Cottonwood River,North Twin Lake-Cottonwood River,,,,,,
243973,,070200030101,,Lake Hendricks,Lake Hendricks,,,,,,
243978,,070200040303,,Upper North Branch Yellow Medicine River,Upper North Branch Yellow Medicine River,,,,,,
244003,,070200030301,,Headwaters West Branch Lac Qui Parle River,Headwaters West Branch Lac Qui Parle River,,,,,,
244011,,070200030302,,Monighan Creek,Monighan Creek,,,,,,
244686,,070200090401,,Drainage Ditch No 21,Drainage Ditch No 21,,,,,,
244687,,070200090201,,Ditch No 60,Ditch No 60,,,,,,
244689,,071000020106,,School Creek-Des Moines River,School Creek-Des Moines River,,,,,,
244690,,071000020102,,Ditch Number 23,Ditch Number 23,,,,,,
244692,,070200090601,,Iowa Lake,Iowa Lake,,,,,,
244693,,071000030108,,Okamanpeedan Lake-East Fork Des Moines River,Okamanpeedan Lake-East Fork Des Moines River,,,,,,
244694,,070200090402,,Judicial Ditch No 13 (Branch A),Judicial Ditch No 13 (Branch A),,,,,,
244695,,070802030102,,State Line Lake-Lime Creek,State Line Lake-Lime Creek,,,,,,
244696,,070200090602,,Upper South Creek,Upper South Creek,,,,,,
244697,,071000020105,,Brown Creek,Brown Creek,,,,,,
244698,,070200090303,,Middle Branch Blue Earth River,Middle Branch Blue Earth River,,,,,,
244700,,070200090203,,West Branch Blue Earth River,West Branch Blue Earth River,,,,,,
244701,,070200090403,,Judicial Ditch No 13,Judicial Ditch No 13,,,,,,
244702,,070200090202,,Judicial Ditch No 7,Judicial Ditch No 7,,,,,,
244703,,071000030107,,Soldier Creek,Soldier Creek,,,,,,
244704,,070200090504,,Brush Creek,Brush Creek,,,,,,
244705,,071000020104,,Judicial Ditch No 11,Judicial Ditch No 11,,,,,,
244707,,071000030104,,Little Tuttle Lake-East Fork Des Moines River,Little Tuttle Lake-East Fork Des Moines River,,,,,,
