OBJECTID,HUC_8,HUC_12,HU_8_NAME,HU_10_NAME,HU_12_NAME,county_10,countylsad,city_10,citylsda,,blank
56883,,070802050701,,South Squaw Creek,Dry Run,,,Marquette,Marquette city,,
56884,,070600040405,,Upper Squaw Creek,Roberts Creek,,,McGregor,McGregor city,,
56885,,071000020802,,Eagle Creek,Drainage Ditch 48,,,Luana,Luana city,,
56886,,070802040102,,Headwaters Maynes Creek,Bailey Creek,,,Monmouth,Monmouth city,,
56887,,070802070805,,Bruce Creek-Maquoketa River,Minerva Creek,,,Miles,Miles city,,
56889,,071000040301,,Maynes Creek,Upper Lizard Creek,,,La Motte,La Motte city,,
56890,,071000020701,,Village of Fairbank-Little Wapsipinicon River,Headwaters Pilot Creek,,,Bellevue,Bellevue city,,
56892,,070600040403,,Max Creek-Beaver Creek,Howard Creek,,,Baldwin,Baldwin city,,
56893,,070801070103,,Beaver Creek,Lower West Fork Crooked Creek,,,Andrew,Andrew city,,
56895,,070801050502,,East Fork Des Moines River,West Indian Creek,,,Zwingle,Zwingle city,,
56896,,070600061006,,Curry Creek,Rock Creek-Maquoketa River,,,Maquoketa,Maquoketa city,,
56897,,071000061501,,Elm Lake State Game Management Area-Iowa River,Fannys Branch-North Raccoon River,,,Coppock,Coppock city,,
56898,,070600040601,,Buffalo Creek,Brush Creek,,,New Market,New Market city,,
56900,,070802070303,,Miners Creek-Mississippi River,Joint Drainage Ditch No 146,,,Lenox,Lenox city,,
56901,,070802040304,,East Branch Buffalo Creek,Otter Creek,,,Gravity,Gravity city,,
56912,,071000050401,,Farmers Creek,Little Eagle Creek,,,Conway,Conway city,,
56913,,071000020702,,Storybrook Hollow-Mill Creek,Crooked Creek,,,Clearfield,Clearfield city,,
56914,,071000050501,,Long Dick Creek,Headwaters White Fox Creek,,,Blockton,Blockton city,,
56915,,071000060802,,Tipton Creek,Drainage Ditch 25-North Raccoon River,,,Bedford,Bedford city,,
56917,,070801010301,,Turner Creek-North Skunk River,Upper Duck Creek,,,Truesdale,Truesdale city,,
56918,,070600060101,,Troublesome Creek-Salt Creek,Penn Creek,,,Storm Lake,Storm Lake city,,
