GRIDCODE,C_D,nodata,B_D,C,B,A,D,A_D,total
13377165,2.29313e+06,0,3.76728e+06,0,4.75005e+06,1.63795e+06,982769,0,1.34312e+07
6996205,7.37077e+06,327590,0,1.96554e+07,163795,0,5.89661e+06,0,3.34141e+07
6996033,2.12933e+06,0,0,5.40523e+06,0,0,818974,0,8.35353e+06
6995645,3.43969e+06,0,0,7.04318e+06,0,0,2.12933e+06,0,1.26122e+07
6995819,9.99148e+06,0,0,2.03106e+07,0,2.12933e+06,7.37077e+06,0,3.98021e+07
11918495,5.07764e+06,0,0,9.82769e+06,0,0,6.87938e+06,0,2.17847e+07
11920111,4.58625e+06,0,0,4.25866e+06,327590,0,2.62072e+06,0,1.17932e+07
5002663,491384,163795,655179,4.75005e+06,655179,0,5.24143e+06,0,1.1957e+07
7005960,491384,0,163795,327590,818974,0,5.40523e+06,0,7.20697e+06
22477481,2.12933e+06,491384,0,1.47415e+06,1.31036e+06,655179,0,0,6.06041e+06
17555593,1.26122e+07,163795,1.63795e+06,1.3595e+07,6.71559e+06,3.43969e+06,163795,0,3.8328e+07
17554833,1.16294e+07,0,4.91384e+06,1.63795e+06,2.29313e+06,1.47415e+06,163795,0,2.21123e+07
11919153,7.04318e+06,327590,0,7.20697e+06,0,163795,0,0,1.47415e+07
11918867,9.17251e+06,0,0,1.1138e+07,327590,0,982769,0,2.16209e+07
5001841,3.2759e+06,0,0,4.42246e+06,0,0,1.55605e+07,0,2.32589e+07
7243707,3.00433e+09,1.78864e+08,1.63958e+08,2.0594e+09,2.01992e+09,1.03191e+08,4.24886e+08,4.14401e+07,7.99598e+09
7243847,1.04829e+07,163795,0,1.1957e+07,0,0,1.96554e+06,0,2.45692e+07
7243821,1.16294e+07,0,0,1.24484e+07,0,0,655179,0,2.4733e+07
7242765,7.53456e+06,0,0,1.26122e+07,163795,0,0,0,2.03106e+07
7242809,6.2242e+06,0,0,1.06467e+07,0,0,0,0,1.68709e+07
7243905,1.1138e+07,0,0,9.17251e+06,1.47415e+06,0,0,0,2.17847e+07
7242543,1.80174e+07,0,0,2.06381e+07,0,0,163795,0,3.88194e+07
7243025,8.84492e+06,0,0,2.16209e+07,163795,0,327590,0,3.09572e+07
7243007,0,163795,327590,327590,818974,163795,0,0,1.80174e+06
7242819,3.60349e+06,0,0,1.7526e+07,327590,0,0,0,2.14571e+07
7226144,5.07764e+06,0,327590,2.35864e+07,2.45692e+06,0,0,0,3.14486e+07
7226144,5.07764e+06,0,327590,2.35864e+07,2.45692e+06,0,0,0,3.14486e+07
7226144,5.07764e+06,0,327590,2.35864e+07,2.45692e+06,0,0,0,3.14486e+07
7226144,5.07764e+06,0,327590,2.35864e+07,2.45692e+06,0,0,0,3.14486e+07
7243609,1.55605e+07,163795,0,1.80174e+07,982769,0,4.25866e+06,0,3.89832e+07
7243583,1.26122e+07,0,0,9.66389e+06,163795,0,2.12933e+06,0,2.45692e+07
7243675,9.99148e+06,0,163795,9.3363e+06,327590,0,1.80174e+06,0,2.16209e+07
7243685,6.2242e+06,0,163795,1.03191e+07,327590,0,1.31036e+06,0,1.8345e+07
7243675,9.99148e+06,0,163795,9.3363e+06,327590,0,1.80174e+06,0,2.16209e+07
7242423,5.07764e+06,0,0,9.5001e+06,0,0,163795,0,1.47415e+07
7242437,8.51733e+06,0,0,7.04318e+06,0,0,163795,0,1.57243e+07
7242417,4.91384e+06,0,0,2.09657e+07,163795,0,0,0,2.60434e+07
7242471,1.31036e+06,0,0,1.09743e+07,0,0,0,0,1.22846e+07
7243451,1.47415e+06,0,0,5.07764e+06,0,0,163795,0,6.71559e+06
7243463,4.91384e+06,0,163795,1.04829e+07,0,0,327590,0,1.58881e+07
7243461,3.93108e+06,0,163795,8.35354e+06,0,0,327590,0,1.2776e+07
7242255,2.94831e+06,0,0,1.49053e+07,163795,0,163795,0,1.81812e+07
7242277,3.60349e+06,0,0,1.70347e+07,163795,0,163795,0,2.09657e+07
7242197,327590,0,0,3.1121e+06,0,0,0,0,3.43969e+06
7242301,2.12933e+06,0,0,1.06467e+07,0,0,0,0,1.2776e+07
6983626,1.08105e+07,491384,0,1.34312e+07,1.63795e+06,0,1.63795e+06,0,2.80089e+07
4993939,1.1957e+07,327590,0,1.68709e+07,1.14656e+06,0,2.94831e+06,0,3.32503e+07
6995863,3.76728e+06,0,0,7.86215e+06,0,0,163795,0,1.17932e+07
4996483,2.62072e+06,0,0,1.14656e+06,0,0,3.2759e+06,0,7.04318e+06
6983178,1.14656e+07,491384,0,2.22761e+07,491384,0,2.29313e+06,0,3.70176e+07
17538829,6.2242e+06,0,0,1.39226e+07,2.94831e+06,0,0,0,2.30951e+07
17538597,4.42246e+06,327590,0,6.388e+06,655179,0,0,0,1.17932e+07
17539333,4.91384e+06,0,0,1.24484e+07,0,0,327590,0,1.76898e+07
6572460,7.86215e+06,0,163795,1.80174e+07,327590,163795,0,0,2.65348e+07
