comid,rusle_sum,rusle_majority,rusle_mean,counts
13373513,2.51925e+06,1715,1776.58,21552
7003524,1.63681e+06,419,594.808,32412
7002982,2.69332e+06,453,437.483,25494
11915549,663334,2,133.093,4984
11915491,2.16715e+06,557,690.175,16001
17540537,883162,222,242.716,10998
14795281,3.9799e+06,2398,1570.87,24269
14794679,1.14098e+06,386,191.408,11922
14794859,2.13938e+06,428,727.478,21127
6950588,2.96199e+06,1361,1478.22,31384
13377127,5.62132e+06,2594,3221.49,26172
13377165,866883,330,312.69,15167
6996205,4.11098e+06,1886,1107.77,36693
6996033,1.09196e+06,304,345.565,9346
6995645,1.69462e+06,441,319.471,14390
6995819,4.57584e+06,1056,1379.34,44066
11918495,2.04003e+06,183,424.237,24070
11920111,2.0074e+06,645,426.265,14732
5002663,302766,189,150.162,13348
7005960,457769,98,55.6761,8222
22477481,345192,76,108.458,6452
17555593,2.62085e+06,174,167.557,43180
17554833,865112,115,212.852,24052
11919153,910373,302,306.306,16193
11918867,3.02488e+06,372,643.89,23845
5001841,1.41631e+06,152,541.23,26446
7243707,4.40267e+08,137849,135015,8.89993e+06
7243847,1.0148e+06,328,274.522,27516
7243821,914101,369,380.835,27039
7242765,1.15566e+06,493,360.226,22827
7242809,926742,359,248.746,18713
7243905,815962,63,98.3973,24719
7242543,1.679e+06,243,224.421,43116
7243025,2.041e+06,429,368.137,34387
7243007,36820,1,18.273,2015
7242819,1.79071e+06,511,473.928,24187
7226144,2.29626e+06,201,168.698,35319
7226144,2.29626e+06,201,168.698,35319
7226144,2.29626e+06,201,168.698,35319
7226144,2.29626e+06,201,168.698,35319
7243609,1.74691e+06,908,792.399,42784
7243583,999917,524,509.681,26874
7243675,915215,143,124.434,22941
7243685,859204,143,116.158,20878
7243675,915215,143,124.434,22941
7242423,717171,67,44.1934,16228
7242437,522675,21,30.3035,17248
7242417,1.98577e+06,335,377.265,28464
7242471,1.11189e+06,201,235.883,13555
7243451,319340,312,293.495,7569
7243463,780848,416,305.863,17333
7243461,606766,349,252.316,14082
7242255,898245,704,682.587,20124
7242277,1.03606e+06,772,773.82,23166
7242197,242460,514,407.904,4186
7242301,815537,335,299.516,14050
6983626,2.38353e+06,475,967.4,31124
4993939,2.72923e+06,266,822.078,36332
6995863,1.69784e+06,228,370.889,13331
4996483,572180,6,76.0271,7526
6983178,4.45426e+06,3822,2427.46,41943
17538829,2.67914e+06,830,1424.22,25952
17538597,1.36056e+06,643,806.825,13116
17539333,3.20829e+06,455,766.351,19542
6572460,3.51044e+06,420,681.725,29918
7015935,1.14973e+06,26,31.4049,36610
7016491,1.64821e+06,99,86.1887,45709
6946430,3.22996e+06,1326,1325.7,96529
937100033,245382,27,99.1194,11814
4994619,1.50122e+07,3615,8185.06,420675
4994581,1.05964e+06,303,464.394,15819
17239450,983198,416,350.622,20469
14620392,1.20558e+06,463,468.853,40639
14620326,735720,23,32.0841,22931
17239288,748998,68,85.0203,24838
17239286,197862,22,36.2916,5452
17239722,461832,76,49.3094,9366
14620046,162990,38,33.3177,4892
17239238,845296,198,244.884,30970
7243747,706898,174,200.17,22235
7244017,230693,63,38.0054,6070
14621122,1.27573e+06,108,99.6588,25602
7244003,662380,238,179.266,19044
14619700,546066,108,104.15,10707
7243481,318950,146,98.2677,9539
6587303,762558,21,41.3064,18461
17234070,1.05346e+06,770,441.222,10747
17234148,731428,380,234.053,6278
17243620,2.52616e+06,452,182.671,13829
17233876,420259,73,80.2787,5235
17233982,1.03636e+06,263,165.744,10587
17233952,381815,263,159.657,4808
17233484,1.01344e+06,73,84.2501,12029
17234210,599123,219,218.488,7955
7226832,1.93468e+06,452,177.624,10892
17240344,127923,73,77.5291,1650
22248825,1.15006e+06,124,152.085,36661
22248825,1.15006e+06,124,152.085,36661
22248789,772597,183,173.337,23504
22248807,320295,1,31.9688,10019
22249301,720279,74,246.022,25739
6597362,471451,10,131.617,26008
6597320,362517,7,101.044,18323
6597738,6.46506e+08,57457,82635.6,1.85587e+07
6597362,471451,10,131.617,26008
6610066,766690,243,288.794,20485
6981344,682119,137,235.415,19443
22249295,919266,42,68.7243,28023
22248767,195126,21,34.3834,5675
6981160,993566,426,560.062,22320
6981256,318566,21,39.04,8160
6597092,859458,132,195.272,21668
17219024,3.96498e+06,235,1162.15,27328
11917727,3.62166e+06,1681,1554.31,26547
6606338,1.35125e+06,358,302.035,29505
17240248,447359,73,65.6337,6816
17240252,1.1974e+06,267,238.659,25758
17240064,2.44939e+06,73,64.6055,37913
7226516,3.22413e+06,73,78.5187,41062
17239024,976463,314,241.433,22092
17238990,1.54268e+06,878,622.886,31365
7225690,1.26607e+06,606,428.218,27188
6979056,4.21765e+06,653,963.759,112750
6980568,483088,179,309.516,8246
6979038,985115,213,349.194,24634
6978872,5.547e+06,705,936.867,119461
6978980,2.36655e+06,359,477.066,62077
6978826,3.70672e+06,191,382.94,71079
6978722,3.71188e+06,234,423.914,87848
6978824,5.12761e+06,355,578.87,118732
6978824,5.12761e+06,355,578.87,118732
17542255,4.3743e+06,1297,1251.31,27286
5135663,9.66444e+06,3041,6508.38,163794
4997469,1.74241e+06,471,738.637,24002
4999325,316808,194,140.457,13209
4994829,371345,37,154.641,14857
4995021,1.08554e+06,283,494.967,40080
22252297,643407,115,359.317,19087
22253933,589916,84,213.297,19936
22251067,1.27284e+06,22,319.639,21182
22254255,9.47244e+07,41841,45735,1.17015e+06
11918837,2.59581e+06,135,295.202,39674
7002298,4.74616e+06,943,1404.02,62189
7002296,2.99342e+06,189,738.995,31113
5964304,513307,7,57.968,8855
5137231,1.52522e+06,599,569.829,23263
5123886,959134,157,396.564,22995
5124112,1.91973e+06,320,387.23,26614
5124018,2.05055e+06,583,778.719,32401
5123858,780500,326,357.495,12165
5124368,1.19396e+06,106,530.44,20196
6594246,1.87556e+06,104,107.243,59536
6590838,1.2059e+07,773,1029.53,201569
13308803,1.64823e+06,331,429.623,10664
13308875,3.46878e+06,916,1333.62,23039
13310169,304354,90,58.5859,5195
13337328,5.95584e+06,849,1149.86,42704
13337132,922246,236,224.436,11388
13337050,432227,2,70.3724,6142
13336628,3.88946e+06,1137,781.898,47301
13336336,2.92649e+06,1471,1471.15,24406
17226697,5.41661e+06,2834,1858.88,24370
14623168,2.93376e+06,1257,806.555,22645
17233534,6.45903e+06,263,269.993,42561
17233532,5.67509e+06,1009,802.984,30299
7016653,754336,231,236.059,27000
7016673,1.40948e+07,678,696.386,512902
6947944,458699,109,129.127,9334
13210220,723181,84,227.452,8406
17538679,1.58076e+06,647,548.673,15611
13373065,3.44111e+06,3099,2457.04,18507
4994961,448674,55,198.225,19915
5120872,424365,65,213.099,12711
5124454,4.51922e+06,1421,1462.7,52518
7242423,717171,67,44.1934,16228
11915629,897540,30,201.996,13258
17239816,1.84172e+06,73,66.8745,27540
940230074,797685,292,260.942,12027
13372067,868926,829,468.833,7645
7242697,1.35069e+06,737,621.268,21933
14620086,1.02549e+07,546,1588.05,353619
6597550,,,,
6979044,1.39994e+06,269,550.259,39770
11916245,259380,4,57.1924,11001
22477695,7.92757e+08,182970,219397,1.8014e+07
22477379,7.92494e+08,182970,219370,1.79789e+07
6610078,1.00508e+06,208,317.266,23918
937080094,6.80388e+07,6593,9683.12,1.44404e+06
6609800,7.16674e+06,1853,1992.13,154702
6948638,497979,65,140.984,15990
7017239,307903,6,74.4163,12590
7017239,307903,6,74.4163,12590
22253349,1.26201e+06,24,211.466,17818
6947636,197803,61,68.7018,9271
6980800,3.04139e+06,505,884.092,86167
22249099,91312,12,25.5288,16158
17539115,181387,0,48.2156,3762
7225392,677469,201,169.784,11983
22474521,598538,60,42.2309,14173
11916245,259380,4,57.1924,11001
22471767,212508,60,41.603,5108
6610078,1.00508e+06,208,317.266,23918
5000831,218569,64,174.138,10443
22474307,87459,0,11.4896,7612
6609766,822049,247,307.411,27163
2527015,1.24078e+06,168,261.966,13627
13357294,191893,0,44.8453,4279
6609862,565865,122,147.677,10545
6609864,869481,202,224.626,15769
22474137,986284,292,300.552,23311
14803911,324478,209,104.3,3111
22476809,5.65518e+08,109262,132391,1.39176e+07
22476809,5.65518e+08,109262,132391,1.39176e+07
22476809,5.65518e+08,109262,132391,1.39176e+07
22248781,622442,43,73.2895,24895
11916245,259380,4,57.1924,11001
