HUC_12,FEATUREID
071000070601,6620304
071000070502,6620832
071000070502,6620888
071000070601,6620198
071000070801,6620364
071000061602,6609802
071000061602,6609814
071000070701,6621116
071000070502,6621652
071000070501,6620048
071000070104,6620020
071000061701,6609880
071000070206,6620094
071000061602,6609794
071000070904,6621204
071000061602,6609716
071000061701,6609932
071000061703,6609870
071000070103,6619926
071000070701,6621694
071000070903,6621480
071000061505,6610118
071000061405,6607944
071000070803,6620868
071000070803,6621262
071000070803,6620928
071000070902,6621112
071000061501,6610888
071000070603,6621656
071000061602,6609816
071000070104,6620034
071000070501,6620002
071000070104,6619984
071000061602,6609742
071000061404,6613726
071000061505,6610126
071000061601,6609680
071000061405,6608290
071000061701,6609874
071000070902,6621098
071000061601,6609762
071000070904,6621246
071000061505,6610732
071000061501,6613744
071000061405,6608276
071000070603,6620934
071000070204,6619652
071000061703,6609856
071000061601,6609718
071000070901,6621414
071000061505,6609778
071000070502,6620738
071000061602,6609760
071000070803,6620716
071000061601,6610096
071000061701,6610144
071000070603,6620852
071000061404,6608262
071000061701,6609936
071000061602,6609788
071000070904,6621244
071000070904,6621260
071000061703,6609960
071000070603,6620950
071000070902,6621304
071000061701,6609824
071000061602,6609770
071000061504,6610924
071000061503,6610610
071000061703,6613762
071000070402,6620474
071000070502,6620454
071000070204,6618208
071000061602,6609830
071000061503,6610650
071000061703,6610154
071000070803,6620908
071000061703,6610210
071000070603,6620586
071000070801,6620458
071000070902,6621302
071000070206,6620118
071000070103,6619916
071000070603,6621680
071000061601,6609686
071000061602,6609828
071000070901,6621382
071000070104,6620066
071000070601,6620204
071000070602,6620232
071000061504,6613748
071000061602,6609806
071000061602,6609808
071000061703,6609950
071000061405,6607934
071000070904,6621218
071000070501,6620156
071000061703,6609952
071000061703,6610232
071000070502,6620810
071000061703,6609954
071000070502,6620684
071000070501,6620004
071000061405,6608270
071000061405,6608286
071000061703,6609906
071000070904,6621236
071000061503,6610910
071000070603,6620858
071000070602,6620570
071000070502,6621638
071000061504,6613700
071000070603,6620590
071000070502,6620750
071000070902,6621086
071000070904,6621224
071000061501,6613696
071000070904,6621266
071000070603,6620758
071000070902,6621076
071000061602,6609698
071000061505,6610736
071000070401,6620512
071000070602,6620424
071000070502,6620914
071000070602,6620438
071000070502,6620572
071000070603,6620680
071000061405,6607922
071000070904,6621232
071000061601,6609710
071000070601,6620174
071000061601,6609694
071000070104,6620028
071000070803,6620958
071000061601,6609782
071000070501,6621580
071000070103,6619964
071000070601,6620222
071000070103,6619818
071000061505,6609752
071000061503,6610906
