Title,X1,Y1,X2,Y2,X3,Y3,X4,Y4,X5,Y5,X6,Y6,X7,Y7,X8,Y8,X9,Y9,X10,Y10,X11,Y11,X12,Y12,X13,Y13,X14,Y14,X15,Y15,X16,Y16,X17,Y17,X18,Y18,X19,Y19,X20,Y20,X21,Y21,X22,Y22,X23,Y23,X24,Y24,X25,Y25,X26,Y26,X27,Y27,X28,Y28,XNot selected,YNot selected,X30,Y30,X30,Y30
,811.76,881.28,518.78,865.84,616.18,839.43,569.86,834.24,,,365.96,824.3,397.57,818.4368,283.95,813.54,284.16,816.42,390.19,797.1,242.8,784.89,132.21,776,150.27,768.62,134.48,752.67,117.99,761.56,221.18,740.6,188.82,722.22,123.68,710.66,240,712.86,208.48,786.51,292.85,782.88,256.89,789.65,479.02,795.37,232.98,792.82,180.94,796.08,258.66,801.78,178.95,836.19,329.2,841.79,660,0,660,0,660,0
,832.75,881.73,551.73,866.86,618.12,839.4492,588.98,834.58,,,371.94,824.27,401.13,818.47,295.9,814.3,290.15,816.49,402.1,795.43,245.8,784.63,135.23,775.65,153.72,768.47,135.87,751.67,121.36,761.49,227.32,740.25,198.42,726.72,127.32,710.67,246,712.77,215.32,785.26,303.56,783.02,263.4,789.97,500.93,795.24,242.49,793.06,183.98,795.95,265.47,801.79,197.15,836.58,347.2,840.7,680,0,680,0,680,0
,,,575.7,867.91,650.61,839.77,592.13,832.48,,,383.9,824.62,407.13,817.9,304.87,814.93,299.12,816.23,408.05,794.94,257.79,784.33,138.26,775.46,157.18,768.61,138.89,751,124.74,761.44,233.46,740.23,200.18,727.37,130.96,710.69,258,712.55,218.74,785.2,314.28,782.76,269.9,790.35,513.46,795.09,245.66,793.01,187.01,796.12,272.28,801.84,206.25,836.68,353.2,841.05,700,0,700,0,700,0
,,,596.66,868.24,674.54,840.38,594.8,831.1,,,389.88,824.99,413.13,817.61,310.84,815.72,308.09,816.31,416.98,794.96,263.79,784.38,141.29,775.33,160.63,768.66,146.99,750.3,131.48,761.32,239.61,740.41,203.19,727.73,145.51,710.81,264,712.26,222.15,785.29,324.99,783.01,276.4,790.43,529.11,794.97,252,792.71,190.05,797.18,285.89,802,212.31,836.72,371.2,840.55,720,0,720,0,720,0
,,,611.64,868.73,692.49,840.39,605.05,830.2,,,395.87,824.96,417.6,817.2772,316.82,816.8,311.08,815.94,434.52,794.56,269.78,784.57,144.31,775.43,164.08,768.63,156.94,750.7,134.85,761.22,248.82,740.31,206.19,727.85,152.79,710.83,273,712.29,228.99,785.21,332.14,782.91,279.65,790.35,551.03,794.74,261.51,792.53,193.08,798.42,289.29,802.07,215.34,836.7,383.2,840.78,740,0,740,0,740,0
,,,623.63,866.89,701.46,840.61,614.93,829.6,,,404.84,825.23,422.13,816.94,328.77,817.01,317.07,815.58,437.65,790.76,275.78,784.9,147.34,775.59,167.53,768.44,166.99,751.4,138.22,761.07,254.97,740.2,209.19,728.01,156.43,710.85,279,711.88,235.82,785.24,339.28,782.93,286.16,790.1,576.07,794.37,271.01,792.27,196.12,799.47,296.1,802.3,218.38,836.62,395.2,840.41,760,0,760,0,760,0
,,,641.6,866.83,725.39,840.65,620.06,830,,,410.82,824.83,431.13,817.4,331.76,817.24,323.05,815.53,439.86,789.96,281.77,785.04,150.37,775.49,170.99,768.17,177.07,750.9,141.59,760.43,261.11,740,212.19,728.05,163.7,710.87,285,711.79,242.66,785.51,346.42,783.03,289.41,789.94,607.38,794.2,283.69,791.86,199.15,799.79,302.91,802.67,221.41,836.46,413.2,840.81,780,0,780,0,780,0
,,,659.57,870.88,740.35,840.93,621.96,830.7,,,416.8,825.03,440.13,818.05,337.74,817.26,332.02,814.88,444.56,790,299.76,784.98,153.39,774.91,174.44,767.86,180.13,751.67,144.96,759.75,267.25,739.75,215.2,728.02,167.34,710.89,291,712.09,245.72,785.27,357.14,783.01,295.91,789.56,640.24,793.82,293.2,791.71,202.19,799.82,313.12,803.41,224.44,836.24,422.2,840.43,800,0,800,0,800,0
,,,674.55,871.98,758.3,840.95,624.54,832.48,,,422.78,824.78,455.13,819.02,343.71,817.55,341,814.38,454.61,790.2,317.74,785.27,159.44,773.17,177.89,767.75,183.52,757.03,148.33,759.74,273.4,739.92,218.1,727.98,170.98,710.9,297,712.48,248.97,784.76,364.28,782.93,302.42,789.12,658.58,793.52,299.54,791.74,205.22,799.7,319.93,803.83,227.48,836.25,428.2,840.46,820,0,820,0,820,0
,,,689.53,872.12,788.21,841.61,629.58,835.58,,,431.75,824.67,458.13,819.33,349.69,818.02,346.98,814.3,456.51,790.76,338.73,785.24,162.47,772.61,188.25,767.9,186.92,757.51,151.7,759.59,279.54,739.9,224.85,727.78,174.61,710.92,303,712.25,255.48,784.14,367.85,783.01,308.92,788.76,670.8,793.21,309.05,791.91,208.26,799.44,326.73,804.12,230.51,836.5,431.2,841.12,840,0,840,0,840,0
,,,710.5,871.73,794.2,841.61,632.16,836.1,,,449.7,824.78,467.13,819.58,355.67,818.8793,355.96,813.73,466.86,790.96,344.72,785.15,165.5,772.32,198.61,768.09,193.72,757.72,155.08,759.49,285.69,739.89,228.23,727.6,181.89,710.93,309,711.7,258.74,783.67,371.42,782.87,312.17,788.63,692.2,792.64,315.39,792.08,214.19,799.5,330.14,804.21,233.54,836.57,437.2,841.43,860,0,860,0,860,0
,,,728.47,868.86,821.12,842.27,640.02,836.58,,,464.65,823.69,485.13,819.72,363.87,818.96,361.94,813.61,511.44,791.2,350.72,784.86,168.52,772.25,205.51,767.96,200.53,757.77,158.45,759.44,297.97,739.79,231.6,727.59,185.53,710.95,315,711.43,261.99,782.95,382.14,782.87,315.42,788.57,716.65,792.17,328.07,792.52,220.24,799.35,340.35,804.39,236.57,836.53,446.2,840.64,880,0,880,0,880,0
,,,740.45,868.29,842.06,843.1,650,837.2,,,470.63,823.51,491.13,819.66,364.64,819.01,370.91,812.71,516.46,795.06,362.71,783.84,171.55,772.35,208.96,768.07,207.33,758.04,161.82,759.36,304.12,739.86,234.98,728.04,203.72,710.99,321,711.49,265.25,782.05,392.85,782.72,325.18,788.45,731.94,792.04,334.41,792.67,223.27,799.38,347.15,804.67,242.64,836.51,455.2,840.5,900,0,900,0,900,0
,,,746.45,868.81,871.97,843.91,674.03,843.85,,,476.61,823.77,497.13,819.95,367.64,818.88,382.88,810.76,520.54,796.23,374.7,782.68,177.6,772.64,212.42,768.28,214.14,758.35,165.19,759.22,313.33,739.7,238.36,728.43,207.35,711.01,327,711.39,271.76,779.91,403.56,782.79,334.94,788.35,756.39,791.53,340.75,792.76,229.32,799.35,350.56,804.5,251.74,836.55,464.2,840.83,920,0,920,0,920,0
,,,758.43,870.75,883.94,844.11,698.03,843.52,,,479.61,823.6,503.13,819.86,373.62,818.95,391.85,809.83,529.39,797.95,386.69,782.18,181.16,772.88,219.32,768.77,217.54,758.48,168.56,759.2,322.55,739.84,241.73,728.7,210.99,711,333,711.64,278.27,777.53,410.71,782.95,338.19,788.36,774.73,791.01,347.08,792.79,238.39,799.27,353.96,804.22,254.77,836.59,470.2,839.25,940,0,940,0,940,0
,,,770.41,870.14,913.85,843.99,710.03,844.1,,,500.57,824.86,515.13,820.48,376.62,819.28,400.83,808.75,535.29,799.58,392.68,781.83,184.16,773.43,222.78,768.95,220.94,758.51,171.93,759.11,328.69,740.07,245.11,729.04,221.91,711.02,339,712.18,280.67,774.06,414.28,782.83,344.69,788.51,793.07,790.57,353.42,792.77,244.44,799.36,360.77,803.38,266.9,836.84,473.2,838.94,960,0,960,0,960,0
,,,794.37,869.9,940.78,844.02,719.03,844.87,,,512.55,826.15,527.13,820.46,382.6,819.1866,403.82,808.53,544.14,802.41,398.68,781.74,187.16,773.95,226.23,768.96,224.34,758.32,175.3,759.21,334.84,740.25,248.49,729.42,229.18,711.05,345,712.55,283.46,772.2,421.42,781.62,357.7,788.77,808.35,790.3,372.44,792.79,256.53,799.68,364.17,802.85,272.97,837.03,482.2,840.48,980,0,980,0,980,0
